# ŦаƄȴℯ τᴏ ¢օƞνеɼȶ սηіҫօɗе ƈᴑȡe ρoɨոƭʂ ȶဝ ʈɦℯⅈг ɳeẚɼℯѕŧ ᗅЅСƗІ homoglyph
# Copyright (c) 2011 Cristian Martinez <me-at-martinec.org>
#
# This data is released under the LGPLLR license. You can use it in commercial
# and non-commercial code with attribution. See http://spdx.org/licenses/LGPLLR
#
# Note:
# The rules to convert accented characters to their unaccented version are
# omitted. Unaccented characters can be obtained by removing the Combining
# Diacritical Marks from canonical mappings containg two-codepoints in the
# form <unaccented character> <combining diacritical mark>
#
# Format:
# <code point>;<normalization>;(glyph) (normalization);(glyph name) (normalization)
2037;0022;(‷) (");(REVERSED TRIPLE PRIME) (QUOTATION MARK)
2057;0022;(⁗) (");(QUADRUPLE PRIME) (QUOTATION MARK)
3003;0022;(〃) (");(DITTO MARK) (QUOTATION MARK)
FF02;0022;(＂) (");(FULLWIDTH QUOTATION MARK) (QUOTATION MARK)
FE5F;0023;(﹟) (#);(SMALL NUMBER SIGN) (NUMBER SIGN)
FF03;0023;(＃) (#);(FULLWIDTH NUMBER SIGN) (NUMBER SIGN)
FE69;0024;(﹩) ($);(SMALL DOLLAR SIGN) (DOLLAR SIGN)
FF04;0024;(＄) ($);(FULLWIDTH DOLLAR SIGN) (DOLLAR SIGN)
0609;0025;(؉) (%);(ARABIC-INDIC PER MILLE SIGN) (PERCENT SIGN)
060A;0025;(؊) (%);(ARABIC-INDIC PER TEN THOUSAND SIGN) (PERCENT SIGN)
066A;0025;(٪) (%);(ARABIC PERCENT SIGN) (PERCENT SIGN)
2030;0025;(‰) (%);(PER MILLE SIGN) (PERCENT SIGN)
2031;0025;(‱) (%);(PER TEN THOUSAND SIGN) (PERCENT SIGN)
2052;0025;(⁒) (%);(COMMERCIAL MINUS SIGN) (PERCENT SIGN)
FE6A;0025;(﹪) (%);(SMALL PERCENT SIGN) (PERCENT SIGN)
FF05;0025;(％) (%);(FULLWIDTH PERCENT SIGN) (PERCENT SIGN)
A778;0026;(ꝸ) (&);(LATIN SMALL LETTER UM) (AMPERSAND)
FE60;0026;(﹠) (&);(SMALL AMPERSAND) (AMPERSAND)
FF06;0026;(＆) (&);(FULLWIDTH AMPERSAND) (AMPERSAND)
02B9;0027;(ʹ) (');(MODIFIER LETTER PRIME) (APOSTROPHE)
02BB;0027;(ʻ) (');(MODIFIER LETTER TURNED COMMA) (APOSTROPHE)
02BC;0027;(ʼ) (');(MODIFIER LETTER APOSTROPHE) (APOSTROPHE)
02BD;0027;(ʽ) (');(MODIFIER LETTER REVERSED COMMA) (APOSTROPHE)
02BE;0027;(ʾ) (');(MODIFIER LETTER RIGHT HALF RING) (APOSTROPHE)
02CA;0027;(ˊ) (');(MODIFIER LETTER ACUTE ACCENT) (APOSTROPHE)
02CB;0027;(ˋ) (');(MODIFIER LETTER GRAVE ACCENT) (APOSTROPHE)
02F4;0027;(˴) (');(MODIFIER LETTER MIDDLE GRAVE ACCENT) (APOSTROPHE)
0374;0027;(ʹ) (');(GREEK NUMERAL SIGN) (APOSTROPHE)
0384;0027;(΄) (');(GREEK TONOS) (APOSTROPHE)
055A;0027;(՚) (');(ARMENIAN APOSTROPHE) (APOSTROPHE)
055D;0027;(՝) (');(ARMENIAN COMMA) (APOSTROPHE)
05D9;0027;(י) (');(HEBREW LETTER YOD) (APOSTROPHE)
05F3;0027;(׳) (');(HEBREW PUNCTUATION GERESH) (APOSTROPHE)
07F4;0027;(ߴ) (');(NKO HIGH TONE APOSTROPHE) (APOSTROPHE)
07F5;0027;(ߵ) (');(NKO LOW TONE APOSTROPHE) (APOSTROPHE)
1FEF;0027;(`) (');(GREEK VARIA) (APOSTROPHE)
1FFD;0027;(´) (');(GREEK OXIA) (APOSTROPHE)
2018;0027;(‘) (');(LEFT SINGLE QUOTATION MARK) (APOSTROPHE)
2019;0027;(’) (');(RIGHT SINGLE QUOTATION MARK) (APOSTROPHE)
201B;0027;(‛) (');(SINGLE HIGH-REVERSED-9 QUOTATION MARK) (APOSTROPHE)
2032;0027;(′) (');(PRIME) (APOSTROPHE)
2035;0027;(‵) (');(REVERSED PRIME) (APOSTROPHE)
A78C;0027;(ꞌ) (');(LATIN SMALL LETTER SALTILLO) (APOSTROPHE)
FF07;0027;(＇) (');(FULLWIDTH APOSTROPHE) (APOSTROPHE)
FF40;0027;(｀) (');(FULLWIDTH GRAVE ACCENT) (APOSTROPHE)
1F110;0028 0041 0029;(🄐) ((A));(PARENTHESIZED LATIN CAPITAL LETTER A) (LEFT PARENTHESIS  LATIN CAPITAL LETTER A  RIGHT PARENTHESIS)
1F111;0028 0042 0029;(🄑) ((B));(PARENTHESIZED LATIN CAPITAL LETTER B) (LEFT PARENTHESIS  LATIN CAPITAL LETTER B  RIGHT PARENTHESIS)
1F112;0028 0043 0029;(🄒) ((C));(PARENTHESIZED LATIN CAPITAL LETTER C) (LEFT PARENTHESIS  LATIN CAPITAL LETTER C  RIGHT PARENTHESIS)
1F113;0028 0044 0029;(🄓) ((D));(PARENTHESIZED LATIN CAPITAL LETTER D) (LEFT PARENTHESIS  LATIN CAPITAL LETTER D  RIGHT PARENTHESIS)
1F114;0028 0045 0029;(🄔) ((E));(PARENTHESIZED LATIN CAPITAL LETTER E) (LEFT PARENTHESIS  LATIN CAPITAL LETTER E  RIGHT PARENTHESIS)
1F115;0028 0046 0029;(🄕) ((F));(PARENTHESIZED LATIN CAPITAL LETTER F) (LEFT PARENTHESIS  LATIN CAPITAL LETTER F  RIGHT PARENTHESIS)
1F116;0028 0047 0029;(🄖) ((G));(PARENTHESIZED LATIN CAPITAL LETTER G) (LEFT PARENTHESIS  LATIN CAPITAL LETTER G  RIGHT PARENTHESIS)
1F117;0028 0048 0029;(🄗) ((H));(PARENTHESIZED LATIN CAPITAL LETTER H) (LEFT PARENTHESIS  LATIN CAPITAL LETTER H  RIGHT PARENTHESIS)
1F118;0028 0049 0029;(🄘) ((I));(PARENTHESIZED LATIN CAPITAL LETTER I) (LEFT PARENTHESIS  LATIN CAPITAL LETTER I  RIGHT PARENTHESIS)
1F119;0028 004A 0029;(🄙) ((J));(PARENTHESIZED LATIN CAPITAL LETTER J) (LEFT PARENTHESIS  LATIN CAPITAL LETTER J  RIGHT PARENTHESIS)
1F11A;0028 004B 0029;(🄚) ((K));(PARENTHESIZED LATIN CAPITAL LETTER K) (LEFT PARENTHESIS  LATIN CAPITAL LETTER K  RIGHT PARENTHESIS)
1F11B;0028 004C 0029;(🄛) ((L));(PARENTHESIZED LATIN CAPITAL LETTER L) (LEFT PARENTHESIS  LATIN CAPITAL LETTER L  RIGHT PARENTHESIS)
1F11C;0028 004D 0029;(🄜) ((M));(PARENTHESIZED LATIN CAPITAL LETTER M) (LEFT PARENTHESIS  LATIN CAPITAL LETTER M  RIGHT PARENTHESIS)
1F11D;0028 004E 0029;(🄝) ((N));(PARENTHESIZED LATIN CAPITAL LETTER N) (LEFT PARENTHESIS  LATIN CAPITAL LETTER N  RIGHT PARENTHESIS)
1F11E;0028 004F 0029;(🄞) ((O));(PARENTHESIZED LATIN CAPITAL LETTER O) (LEFT PARENTHESIS  LATIN CAPITAL LETTER O  RIGHT PARENTHESIS)
1F11F;0028 0050 0029;(🄟) ((P));(PARENTHESIZED LATIN CAPITAL LETTER P) (LEFT PARENTHESIS  LATIN CAPITAL LETTER P  RIGHT PARENTHESIS)
1F120;0028 0051 0029;(🄠) ((Q));(PARENTHESIZED LATIN CAPITAL LETTER Q) (LEFT PARENTHESIS  LATIN CAPITAL LETTER Q  RIGHT PARENTHESIS)
1F121;0028 0052 0029;(🄡) ((R));(PARENTHESIZED LATIN CAPITAL LETTER R) (LEFT PARENTHESIS  LATIN CAPITAL LETTER R  RIGHT PARENTHESIS)
1F122;0028 0053 0029;(🄢) ((S));(PARENTHESIZED LATIN CAPITAL LETTER S) (LEFT PARENTHESIS  LATIN CAPITAL LETTER S  RIGHT PARENTHESIS)
1F123;0028 0054 0029;(🄣) ((T));(PARENTHESIZED LATIN CAPITAL LETTER T) (LEFT PARENTHESIS  LATIN CAPITAL LETTER T  RIGHT PARENTHESIS)
1F124;0028 0055 0029;(🄤) ((U));(PARENTHESIZED LATIN CAPITAL LETTER U) (LEFT PARENTHESIS  LATIN CAPITAL LETTER U  RIGHT PARENTHESIS)
1F125;0028 0056 0029;(🄥) ((V));(PARENTHESIZED LATIN CAPITAL LETTER V) (LEFT PARENTHESIS  LATIN CAPITAL LETTER V  RIGHT PARENTHESIS)
1F126;0028 0057 0029;(🄦) ((W));(PARENTHESIZED LATIN CAPITAL LETTER W) (LEFT PARENTHESIS  LATIN CAPITAL LETTER W  RIGHT PARENTHESIS)
1F127;0028 0058 0029;(🄧) ((X));(PARENTHESIZED LATIN CAPITAL LETTER X) (LEFT PARENTHESIS  LATIN CAPITAL LETTER X  RIGHT PARENTHESIS)
1F128;0028 0059 0029;(🄨) ((Y));(PARENTHESIZED LATIN CAPITAL LETTER Y) (LEFT PARENTHESIS  LATIN CAPITAL LETTER Y  RIGHT PARENTHESIS)
1F129;0028 005A 0029;(🄩) ((Z));(PARENTHESIZED LATIN CAPITAL LETTER Z) (LEFT PARENTHESIS  LATIN CAPITAL LETTER Z  RIGHT PARENTHESIS)
207D;0028;(⁽) (();(SUPERSCRIPT LEFT PARENTHESIS) (LEFT PARENTHESIS)
208D;0028;(₍) (();(SUBSCRIPT LEFT PARENTHESIS) (LEFT PARENTHESIS)
2474;0028 0031 0029;(⑴) ((1));(PARENTHESIZED DIGIT ONE) (LEFT PARENTHESIS  DIGIT ONE  RIGHT PARENTHESIS)
